,date,unix,open,high,low,close,volume
0,2018-05-15 06:00:00,1526364000,732.1,736.67,730.94,733.0,1043.91
1,2018-05-15 07:00:00,1526367600,733.0,735.99,730.45,733.82,353.82
2,2018-05-15 08:00:00,1526371200,733.82,734.92,721.58,731.68,3924.55
3,2018-05-15 09:00:00,1526374800,731.68,731.82,726.98,727.32,601.03
4,2018-05-15 10:00:00,1526378400,727.32,739.37,725.04,733.59,1943.15
5,2018-05-15 11:00:00,1526382000,733.59,737.14,728.53,730.24,1447.43
6,2018-05-15 12:00:00,1526385600,730.24,734.74,729.57,733.8,370.95
7,2018-05-15 13:00:00,1526389200,733.8,734.16,726.08,728.96,934.34
8,2018-05-15 14:00:00,1526392800,728.96,729.42,708.87,711.86,2772.44
9,2018-05-15 15:00:00,1526396400,711.86,722.34,708.32,720.64,1350.03
10,2018-05-15 16:00:00,1526400000,720.64,732.0,716.88,723.75,1305.7
11,2018-05-15 17:00:00,1526403600,723.75,731.0,713.82,717.18,1881.71
12,2018-05-15 18:00:00,1526407200,717.18,717.2,707.83,712.39,1272.49
13,2018-05-15 19:00:00,1526410800,712.39,715.69,707.28,713.0,1008.66
14,2018-05-15 20:00:00,1526414400,713.0,714.99,709.41,712.48,418.57
15,2018-05-15 21:00:00,1526418000,712.48,714.44,707.39,707.84,156.07
16,2018-05-15 22:00:00,1526421600,707.84,711.29,695.74,700.99,1029.83
17,2018-05-15 23:00:00,1526425200,700.99,710.15,699.05,707.38,255.89
18,2018-05-16 00:00:00,1526428800,707.38,710.09,698.35,701.99,393.21
19,2018-05-16 01:00:00,1526432400,701.99,701.99,690.04,692.87,1296.47
20,2018-05-16 02:00:00,1526436000,692.87,692.99,675.51,681.36,2223.96
21,2018-05-16 03:00:00,1526439600,681.36,692.14,679.08,679.76,1247.88
22,2018-05-16 04:00:00,1526443200,679.76,690.99,679.75,685.99,771.93
23,2018-05-16 05:00:00,1526446800,685.99,686.6,680.2,684.28,250.8
24,2018-05-16 06:00:00,1526450400,684.28,688.78,682.65,686.67,556.14
25,2018-05-16 07:00:00,1526454000,686.67,694.43,685.79,691.57,399.59
26,2018-05-16 08:00:00,1526457600,691.57,691.57,682.76,687.88,1030.33
27,2018-05-16 09:00:00,1526461200,687.88,693.65,684.38,692.3,217.24
28,2018-05-16 10:00:00,1526464800,692.3,708.62,692.3,702.61,2173.23
29,2018-05-16 11:00:00,1526468400,702.61,712.0,701.45,706.0,421.29
30,2018-05-16 12:00:00,1526472000,706.0,709.87,702.26,704.01,589.15
31,2018-05-16 13:00:00,1526475600,704.01,705.29,674.57,683.74,2676.72
32,2018-05-16 14:00:00,1526479200,683.74,694.51,683.66,691.91,939.76
33,2018-05-16 15:00:00,1526482800,691.91,702.08,691.68,697.31,1899.69
34,2018-05-16 16:00:00,1526486400,697.31,703.0,689.41,694.82,994.99
35,2018-05-16 17:00:00,1526490000,694.82,699.0,692.64,693.53,1121.93
36,2018-05-16 18:00:00,1526493600,693.53,702.84,693.42,696.72,1175.46
37,2018-05-16 19:00:00,1526497200,696.72,703.99,695.5,695.5,753.4
38,2018-05-16 20:00:00,1526500800,695.5,697.8,692.92,695.6,253.5
39,2018-05-16 21:00:00,1526504400,695.6,695.7,691.83,693.6,80.36
40,2018-05-16 22:00:00,1526508000,693.6,704.49,693.6,700.31,271.53
41,2018-05-16 23:00:00,1526511600,700.31,708.46,700.31,706.88,2455.94
42,2018-05-17 00:00:00,1526515200,706.88,714.99,706.56,711.0,564.12
43,2018-05-17 01:00:00,1526518800,711.0,715.0,705.33,712.86,2958.92
44,2018-05-17 02:00:00,1526522400,712.86,715.77,710.46,713.09,3187.98
45,2018-05-17 03:00:00,1526526000,713.09,718.9,707.11,710.94,981.06
46,2018-05-17 04:00:00,1526529600,710.94,713.0,708.3,708.3,96.68
47,2018-05-17 05:00:00,1526533200,708.3,712.31,706.3,710.27,757.87
48,2018-05-17 06:00:00,1526536800,710.27,712.15,706.45,706.45,1095.31
49,2018-05-17 07:00:00,1526540400,706.45,707.88,695.01,697.99,4067.88
